Year,Brand,Model,Title,Mile,Price,Transmition,EXT_COLOR,INT_COLOR,Derivtrain,zipcode,log_price
2016,Alfa,Romeo 4C Base,USED,39041,41700.0,Automatic,Gray,Black,RWD,75207,10.638256407786892
2019,Alfa,Romeo Giulia Quadrifoglio,USED,14657,59997.0,Automatic,Blue,Black,RWD,75207,11.002049839954196
2018,Alfa,Romeo Stelvio Ti,USED,12497,29685.0,Automatic,Gray,Black,AWD,99115,10.298397146704776
2018,Alfa,Romeo Giulia Ti,USED,31588,25998.0,Automatic,Black,Black,RWD,66203,10.165774890967965
2018,Alfa,Romeo Stelvio Ti,USED,12497,29685.0,Automatic,Gray,Black,AWD,89107,10.298397146704776
2017,Alfa,Romeo Giulia Quadrifoglio,USED,9842,44000.0,Automatic,Blue,Black,RWD,66203,10.691944912900398
2018,Alfa,Romeo Stelvio Ti,USED,10297,29075.0,Automatic,Gray,Black,AWD,66203,10.277633977386865
2018,Alfa,Romeo Stelvio Ti,USED,0,33000.0,Automatic,Silver,Beige,AWD,75207,10.404262840448617
2017,Alfa,Romeo Giulia Ti,USED,11495,26319.0,Automatic,Gray,Black,RWD,92521,10.178046390796494
2018,Alfa,Romeo Stelvio Base,USED,4435,24943.0,Automatic,Blue,Black,AWD,75207,10.124348500692786
2018,Alfa,Romeo Stelvio Ti,USED,10297,29075.0,Automatic,Gray,Black,AWD,89107,10.277633977386865
2018,Alfa,Romeo Stelvio Ti,USED,10855,27375.0,Automatic,Black,Black,AWD,89107,10.217385467118802
2018,Alfa,Romeo Stelvio Ti,USED,0,33000.0,Automatic,Silver,Beige,AWD,89107,10.404262840448617
2016,Alfa,Romeo 4C Base,USED,39041,41700.0,Automatic,Gray,Black,RWD,11101,10.638256407786892
2018,Alfa,Romeo Stelvio Base,USED,4435,24943.0,Automatic,Blue,Black,AWD,89107,10.124348500692786
2018,Alfa,Romeo Stelvio Ti,USED,10297,29075.0,Automatic,Gray,Black,AWD,99115,10.277633977386865
2017,Alfa,Romeo Giulia Ti,USED,11495,26319.0,Automatic,Gray,Black,RWD,11101,10.178046390796494
2018,Alfa,Romeo Stelvio Ti,USED,10855,27375.0,Automatic,Black,Black,AWD,75207,10.217385467118802
2019,Alfa,Romeo Giulia Quadrifoglio,USED,14657,59997.0,Automatic,Blue,Black,RWD,99115,11.002049839954196
2018,Alfa,Romeo Stelvio Ti,USED,0,33000.0,Automatic,Silver,Beige,AWD,66203,10.404262840448617
2017,Alfa,Romeo Giulia Quadrifoglio,USED,19160,42075.0,Automatic,Black,Black,RWD,66203,10.647209019059007
2018,Alfa,Romeo Stelvio Ti,USED,0,33000.0,Automatic,Silver,Beige,AWD,99115,10.404262840448617
2018,Alfa,Romeo Stelvio Ti,USED,12497,29685.0,Automatic,Gray,Black,AWD,92521,10.298397146704776
2015,Alfa,Romeo 4C Base,USED,9248,36995.0,Automatic,White,Black,RWD,92521,10.518538047359652
2018,Alfa,Romeo Stelvio Ti,USED,0,33000.0,Automatic,Silver,Beige,AWD,11101,10.404262840448617
2019,Alfa,Romeo Giulia Quadrifoglio,USED,14657,59997.0,Automatic,Blue,Black,RWD,11101,11.002049839954196
2018,Alfa,Romeo Stelvio Base,USED,4435,24943.0,Automatic,Blue,Black,AWD,11101,10.124348500692786
2017,Alfa,Romeo Giulia Quadrifoglio,USED,9842,44000.0,Automatic,Blue,Black,RWD,89107,10.691944912900398
2018,Alfa,Romeo Stelvio Ti,USED,10855,27375.0,Automatic,Black,Black,AWD,66203,10.217385467118802
2018,Alfa,Romeo Stelvio Ti,USED,10855,27375.0,Automatic,Black,Black,AWD,11101,10.217385467118802
2017,Alfa,Romeo Giulia Quadrifoglio,USED,19160,42075.0,Automatic,Black,Black,RWD,75207,10.647209019059007
2018,Alfa,Romeo Stelvio Ti,USED,10297,29075.0,Automatic,Gray,Black,AWD,99115,10.277633977386865
2015,Alfa,Romeo 4C Base,USED,9248,36995.0,Automatic,White,Black,RWD,99115,10.518538047359652
2017,Alfa,Romeo Giulia Quadrifoglio,USED,9842,44000.0,Automatic,Blue,Black,RWD,11101,10.691944912900398
2017,Alfa,Romeo Giulia Quadrifoglio,USED,19160,42075.0,Automatic,Black,Black,RWD,99115,10.647209019059007
2018,Alfa,Romeo Stelvio Ti,USED,10297,29075.0,Automatic,Gray,Black,AWD,75207,10.277633977386865
2018,Alfa,Romeo Stelvio Ti,USED,12497,29685.0,Automatic,Gray,Black,AWD,11101,10.298397146704776
2015,Alfa,Romeo 4C Base,USED,9248,36995.0,Automatic,White,Black,RWD,66203,10.518538047359652
2018,Alfa,Romeo Stelvio Ti,USED,12497,29685.0,Automatic,Gray,Black,AWD,66203,10.298397146704776
2018,Alfa,Romeo Giulia Ti,USED,31588,25998.0,Automatic,Black,Black,RWD,92521,10.165774890967965
2017,Alfa,Romeo Giulia Quadrifoglio,USED,19160,42075.0,Automatic,Black,Black,RWD,11101,10.647209019059007
2018,Alfa,Romeo Stelvio Ti,USED,10297,29075.0,Automatic,Gray,Black,AWD,11101,10.277633977386865
2019,Alfa,Romeo Giulia Quadrifoglio,USED,14657,59497.0,Automatic,Blue,Black,RWD,89107,10.993681170094515
2018,Alfa,Romeo Stelvio Ti,USED,2954,27500.0,Automatic,White,Black,AWD,89107,10.221941283654663
2018,Alfa,Romeo Giulia Ti,USED,31588,25998.0,Automatic,Black,Black,RWD,99115,10.165774890967965
