Year,Brand,Model,Title,Mile,Price,Transmition,EXT_COLOR,INT_COLOR,Derivtrain,zipcode
2018,Volkswagen,Passat 2.0T R-Line,USED,6406,15875,Automatic,Gray,Black,FWD,92521
2017,Chrysler,300C Platinum,USED,44664,20000,Automatic,White,Black,RWD,92521
2018,Dodge,Durango SRT,USED,27430,35995,Automatic,Black,Black,AWD,92521
2012,GMC,Terrain SLT-1,USED,0,6991,Automatic,Gray,Other,FWD,92521
2015,Scion,FR-S,USED,29912,9999,Manual,Gray,Other,RWD,92521
2019,INFINITI,QX50 Pure,USED,12782,24900,CVT,White,Gray,FWD,92521
2018,BMW,X2 sDrive28i,USED,16256,22999,Automatic,Gray,Black,FWD,92521
2014,Scion,tC Base,USED,50700,5950,Manual,Gray,Gray,FWD,92521
2017,Nissan,Versa 1.6 SV,USED,50391,8500,CVT,White,Gray,FWD,92521
2016,Acura,ILX Technology Plus Package,USED,22732,13999,Automatic,White,Black,FWD,92521
2008,smart,ForTwo Passion,USED,32720,4970,Automatic,Red,Red,RWD,92521
2012,Nissan,Leaf SL,USED,78000,3200,Automatic,Silver,Gray,FWD,92521
2011,Dodge,Caliber Mainstreet,USED,68552,5695,CVT,Silver,Gray,FWD,92521
2020,Kia,Telluride S,USED,6095,36500,Automatic,White,Black,AWD,92521
2006,INFINITI,G35 Base,USED,68579,6950,Manual,Black,White,RWD,92521
2009,Dodge,Journey SXT,USED,94428,3995,Automatic,White,Beige,FWD,92521
2005,Dodge,Magnum R/T,USED,66482,9990,Automatic,Red,Beige,RWD,92521
2003,Hummer,H1 ENCLOSED TURBODIESEL 44K LOW MILES CLN CARFAX WE F,USED,44349,69567,Automatic,Gray,Gray,4x4/4-wheel drive,92521
2010,Toyota,Matrix S,USED,120034,6495,Automatic,Silver,Other,AWD,92521
2015,Porsche,Panamera e-Hybrid S,USED,43678,38874,Automatic,Blue,Black,RWD,92521
2004,Toyota,Matrix XR,USED,139000,2300,Automatic,Silver,Gray,FWD,92521
2015,Nissan,Juke S,USED,34000,10900,CVT,Black,Other,AWD,92521
2020,Chevrolet,Spark LS,NEW,0,11981,CVT,Silver,Black,FWD,92521
2011,BMW,550 i,USED,90905,9995,Automatic,Silver,Black,RWD,92521
2019,Volvo,S60 T6 R-Design,USED,5658,38988,Automatic,Black,Gray,AWD,92521
2018,Chevrolet,Cruze LT,USED,14392,10950,Automatic,Black,Black,FWD,92521
2003,Mercury,Marauder,USED,146863,8990,Automatic,Black,Gray,RWD,92521
2012,BMW,X5 xDrive35i,USED,77647,13800,Automatic,Gray,Other,AWD,92521
2009,Pontiac,Solstice,USED,9045,12995,Manual,Red,Gray,RWD,92521
2017,Buick,Envision Essence,USED,22218,18999,Automatic,White,Other,FWD,92521
2015,Kia,Forte LX,USED,55321,5491,Automatic,Brown,Beige,FWD,92521
2015,Buick,Enclave Leather,USED,79898,9995,Automatic,Other,Other,FWD,92521
2012,Volkswagen,Routan SEL,USED,96554,8995,Automatic,Gray,Gray,FWD,92521
2018,Toyota,C-HR XLE,USED,15395,13900,CVT,Red,Black,FWD,92521
1989,Nissan,240SX SE,USED,143184,8500,Manual,White,Other,RWD,92521
2006,Dodge,Magnum SXT,USED,96180,5495,Automatic,Black,Gray,AWD,92521
2012,Fisker,Karma EcoSport,USED,39778,29995,Automatic,White,Black,RWD,92521
2016,Lexus,GS F Base,USED,33535,44895,Automatic,White,Red,RWD,92521
2011,Chevrolet,Aveo 5 LT,USED,65900,3795,Automatic,Gray,Black,FWD,92521
2003,Volkswagen,Eurovan MV,USED,147143,8942,Automatic,Red,Gray,FWD,92521
2013,Nissan,Sentra SR,USED,64547,3999,CVT,Black,Black,FWD,92521
2019,Lincoln,MKZ Hybrid Reserve I,USED,0,19900,CVT,Red,Beige,FWD,92521
2020,Hyundai,Palisade SEL,USED,3050,37734,Automatic,White,Black,AWD,92521
2014,Volkswagen,Eos Sport,USED,42405,10990,Automatic,Red,Beige,FWD,92521
